placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
78,80,2022-04-20,1,3,2021-2022,Corinthians,Pinheiros,74.9,30.9,33.6,10.4,39.0,12.3,26.7,15.4,14.2,1.1729999999999996,10.3,28.7,35.607,16.8,34.2,49.206,10.4,14.5,71.82399999999998,1.4,4.6,0.32599999999999996,2.1,18.5,0.11000000000000001,14.2,3.5,81.9,81.69900000000001,28.2,42.2,11.299,39.199,12.7,26.498999999999995,17.898999999999994,13.0,1.4060000000000001,9.399,27.598999999999997,34.509,21.1,41.6,50.893,11.299,15.799000000000003,70.28200000000001,2.0989999999999993,7.2989999999999995,0.5640000000000001,2.5,16.500999999999998,0.143,13.0,2.2010000000000005,92.39900000000002
81,67,2022-04-22,2,3,2021-2022,UNIFACISA,Caxias do Sul Basquete,72.4,27.3,34.5,10.6,37.25,11.5,25.75,13.7,13.45,1.052,9.1,27.95,32.219,17.25,36.1,47.525999999999996,10.6,14.35,74.477,1.3,8.15,0.6340000000000001,1.25,18.7,0.06600000000000002,13.45,2.25,77.85,64.5,25.05,31.0,8.45,32.95,7.95,25.0,14.0,15.35,0.9480000000000001,8.35,27.35,30.951999999999998,15.5,32.4,47.631,8.45,13.55,63.152,0.3,6.95,0.457,1.6,20.6,0.081,15.35,2.95,63.65
82,71,2022-04-22,2,3,2021-2022,Bauru Basket,Pato Basquete,78.0,32.7,34.4,10.9,35.1,7.5,27.6,15.6,12.1,1.355,10.9,30.2,35.24,17.2,33.1,52.059000000000005,10.9,14.2,76.241,0.3,8.1,0.687,0.9,18.6,0.049,12.1,3.2,87.1,74.45,24.75,36.5,13.2,37.0,10.2,26.8,12.3,14.5,0.9269999999999999,8.25,30.4,26.859,18.25,35.0,52.181999999999995,13.2,17.95,74.02899999999998,2.45,7.4,0.563,1.2,19.55,0.064,14.5,3.7,74.2
89,78,2022-04-23,2,3,2021-2022,Pinheiros,Corinthians,80.49900000000001,26.4,42.2,11.899,38.099,12.1,25.998999999999995,17.499000000000002,13.4,1.31,8.799,26.398999999999994,34.092000000000006,21.1,40.9,51.712,11.899,16.099,73.116,2.099,7.499,0.562,2.7,16.601,0.156,13.4,2.4010000000000007,91.299,74.7,29.1,35.0,10.6,38.4,12.1,26.3,15.6,15.1,1.0659999999999996,9.7,27.5,35.19,17.5,34.4,50.79299999999999,10.6,14.7,72.45899999999999,1.4,5.0,0.32299999999999995,1.7,19.0,0.085,15.1,3.7,81.5
90,84,2022-04-23,2,3,2021-2022,Paulistano,Rio Claro,78.46700000000001,25.2,40.801,12.467,38.033,10.533,27.499000000000002,14.732999999999999,13.001,1.3400000000000003,8.399000000000001,25.167,32.723,20.399,38.467,52.972,12.467,16.966,71.289,2.101,6.5009999999999994,0.6140000000000001,1.6,19.367,0.083,13.001,2.467,87.001,77.0,22.65,40.2,14.15,34.95,10.95,24.0,14.05,11.1,1.286,7.55,23.35,31.801000000000005,20.1,40.05,50.636,14.15,18.4,75.715,2.05,5.5,0.5039999999999999,1.5,20.65,0.07,11.1,2.25,81.9
88,79,2022-04-24,3,3,2021-2022,Bauru Basket,Pato Basquete,79.7,32.85,35.4,11.45,35.2,7.65,27.55,16.05,11.9,1.416,10.95,30.0,35.668,17.7,33.35,53.224000000000004,11.45,14.9,76.519,0.5,7.5,0.6460000000000001,1.0,18.4,0.05700000000000001,11.9,2.85,89.4,73.8,24.6,36.6,12.6,37.6,10.4,27.2,12.5,14.7,0.924,8.2,31.3,25.725000000000005,18.3,34.2,53.589999999999996,12.6,17.3,72.95399999999998,2.6,7.5,0.5609999999999999,1.4,19.1,0.075,14.7,3.7,74.4
68,64,2022-04-25,3,3,2021-2022,Paulistano,Rio Claro,79.2,24.2,41.734,13.267000000000001,37.6,10.333,27.266,15.1,12.134,1.608,8.065999999999999,24.467000000000002,32.561,20.866,38.567,54.08400000000002,13.267000000000001,18.032999999999998,71.289,2.234,7.134,0.825,1.7,19.267000000000003,0.088,12.134,2.2670000000000003,89.73400000000001,77.6,24.0,39.2,14.4,34.6,10.9,23.7,14.0,11.1,1.283,8.0,24.3,32.16100000000001,19.6,38.4,51.538,14.4,18.1,77.63,2.1,5.2,0.485,1.4,21.0,0.06400000000000002,11.1,1.8,82.9
85,65,2022-04-27,1,4,2021-2022,Minas,UNIFACISA,79.9,27.3,37.6,15.0,34.8,9.5,25.3,15.35,14.0,1.122,9.1,26.85,33.721000000000004,18.8,32.75,57.448,15.0,18.05,83.373,2.8,5.6,0.404,1.9,17.95,0.10900000000000001,14.0,2.5,88.8,71.6,26.7,34.6,10.3,38.1,12.1,26.0,13.5,12.7,1.142,8.9,28.1,31.455000000000002,17.3,36.2,47.534000000000006,10.3,14.2,72.95,1.2,7.5,0.6160000000000001,1.0,18.2,0.05800000000000001,12.7,2.0,77.0
95,86,2022-04-27,1,4,2021-2022,Sesi Franca,Pinheiros,87.35,28.65,45.2,13.5,39.3,10.35,28.95,17.35,8.95,2.099,9.55,29.1,32.47500000000001,22.6,39.75,57.510000000000005,13.5,17.95,75.59,3.25,5.55,0.675,1.7,18.45,0.101,8.95,1.6,101.15,83.399,29.4,41.8,12.199,37.498999999999995,11.5,25.998999999999995,17.499000000000002,12.9,1.388,9.799,25.698999999999995,38.447,20.9,41.5,50.641000000000005,12.199,16.299,74.076,2.2990000000000004,7.898999999999999,0.631,2.7,16.500999999999998,0.158,12.9,2.401,95.49900000000001
90,65,2022-04-28,1,4,2021-2022,São Paulo,Bauru Basket,85.3,28.2,41.8,15.3,39.0,7.9,31.1,18.0,11.5,1.6549999999999998,9.4,27.7,33.882999999999996,20.9,33.8,61.90599999999999,15.3,20.8,74.208,2.4,6.5,0.5999999999999999,2.6,18.7,0.13599999999999998,11.5,0.9,103.2,82.0,34.5,35.0,12.5,34.0,7.4,26.6,16.2,11.5,1.482,11.5,30.0,37.564,17.5,33.1,52.95400000000001,12.5,15.8,78.74100000000001,0.6,7.0,0.625,1.3,19.1,0.068,11.5,2.3,91.6
