Janela Incremental,Temporada,Acurácia,F1-Score
15,2008-2009,0.7647,0.7647
15,2009-2010,0.6712,0.6712
15,2011-2012,0.7250,0.7250
15,2012-2013,0.6707,0.6707
15,2013-2014,0.6200,0.6200
15,2014-2015,0.6691,0.6691
15,2015-2016,0.6485,0.6485
15,2016-2017,0.6393,0.6393
15,2018-2019,0.6782,0.6782
15,2019-2020,0.6545,0.6545
15,2020-2021,0.7280,0.7280
15,2021-2022,0.7049,0.7049
15,2022-2023,0.6757,0.6757
15,2023-2024,0.6541,0.6541
