Janela Incremental,Temporada,Acurácia,F1-Score
5,2008-2009,0.7100,0.7100
5,2009-2010,0.6795,0.6795
5,2011-2012,0.6765,0.6765
5,2012-2013,0.6715,0.6715
5,2013-2014,0.5839,0.5839
5,2014-2015,0.6129,0.6129
5,2015-2016,0.5984,0.5984
5,2016-2017,0.5354,0.5354
5,2018-2019,0.6274,0.6274
5,2019-2020,0.6119,0.6119
5,2020-2021,0.6346,0.6346
5,2021-2022,0.6275,0.6275
5,2022-2023,0.6013,0.6013
5,2023-2024,0.6368,0.6368
