Janela Incremental,Temporada,Acurácia,F1-Score
10,2008-2009,0.7035,0.7035
10,2009-2010,0.6954,0.6954
10,2011-2012,0.6848,0.6848
10,2012-2013,0.6696,0.6696
10,2013-2014,0.6230,0.6230
10,2014-2015,0.6934,0.6934
10,2015-2016,0.6434,0.6434
10,2016-2017,0.6104,0.6104
10,2018-2019,0.6087,0.6087
10,2019-2020,0.6276,0.6276
10,2020-2021,0.6980,0.6980
10,2021-2022,0.6689,0.6689
10,2022-2023,0.6478,0.6478
10,2023-2024,0.6480,0.6480
