Janela Incremental,Temporada,Acurácia,F1-Score
10,2008-2009,0.7566,0.7566
10,2009-2010,0.6623,0.6623
10,2011-2012,0.7333,0.7333
10,2012-2013,0.6637,0.6637
10,2013-2014,0.5934,0.5934
10,2014-2015,0.6533,0.6533
10,2015-2016,0.5656,0.5656
10,2016-2017,0.5462,0.5462
10,2018-2019,0.6087,0.6087
10,2019-2020,0.6531,0.6531
10,2020-2021,0.6392,0.6392
10,2021-2022,0.6553,0.6553
10,2022-2023,0.6213,0.6213
10,2023-2024,0.6560,0.6560
