Janela Incremental,Temporada,Acurácia,F1-Score
5,2008-2009,0.7489,0.7489
5,2009-2010,0.7179,0.7179
5,2011-2012,0.6882,0.6882
5,2012-2013,0.6686,0.6686
5,2013-2014,0.5903,0.5903
5,2014-2015,0.6559,0.6559
5,2015-2016,0.6145,0.6145
5,2016-2017,0.5669,0.5669
5,2018-2019,0.6651,0.6651
5,2019-2020,0.6368,0.6368
5,2020-2021,0.7115,0.7115
5,2021-2022,0.6812,0.6812
5,2022-2023,0.6340,0.6340
5,2023-2024,0.6632,0.6632
