Janela Incremental,Temporada,Acurácia,F1-Score
10,2008-2009,0.7699,0.7699
10,2009-2010,0.6954,0.6954
10,2011-2012,0.7152,0.7152
10,2012-2013,0.6814,0.6814
10,2013-2014,0.6328,0.6328
10,2014-2015,0.7117,0.7117
10,2015-2016,0.6434,0.6434
10,2016-2017,0.6265,0.6265
10,2018-2019,0.6570,0.6570
10,2019-2020,0.6531,0.6531
10,2020-2021,0.7098,0.7098
10,2021-2022,0.6860,0.6860
10,2022-2023,0.6478,0.6478
10,2023-2024,0.6507,0.6507
