Janela Incremental,Temporada,Acurácia,F1-Score
5,2008-2009,0.7143,0.7143
5,2009-2010,0.7244,0.7244
5,2011-2012,0.6765,0.6765
5,2012-2013,0.6657,0.6657
5,2013-2014,0.6484,0.6484
5,2014-2015,0.6308,0.6308
5,2015-2016,0.6345,0.6345
5,2016-2017,0.5748,0.5748
5,2018-2019,0.6132,0.6132
5,2019-2020,0.6468,0.6468
5,2020-2021,0.7115,0.7115
5,2021-2022,0.6846,0.6846
5,2022-2023,0.6667,0.6667
5,2023-2024,0.6368,0.6368
