Janela Incremental,Temporada,Acurácia,F1-Score
10,2008-2009,0.7655,0.7655
10,2009-2010,0.7086,0.7086
10,2011-2012,0.7212,0.7212
10,2012-2013,0.6873,0.6873
10,2013-2014,0.6361,0.6361
10,2014-2015,0.6825,0.6825
10,2015-2016,0.6270,0.6270
10,2016-2017,0.6305,0.6305
10,2018-2019,0.6618,0.6618
10,2019-2020,0.6633,0.6633
10,2020-2021,0.7098,0.7098
10,2021-2022,0.6621,0.6621
10,2022-2023,0.6611,0.6611
10,2023-2024,0.6507,0.6507
