Janela Incremental,Temporada,Acurácia,F1-Score
15,2008-2009,0.7692,0.7692
15,2009-2010,0.7055,0.7055
15,2011-2012,0.6562,0.6562
15,2012-2013,0.6707,0.6707
15,2013-2014,0.6133,0.6133
15,2014-2015,0.6840,0.6840
15,2015-2016,0.6025,0.6025
15,2016-2017,0.5984,0.5984
15,2018-2019,0.6832,0.6832
15,2019-2020,0.6911,0.6911
15,2020-2021,0.6960,0.6960
15,2021-2022,0.6667,0.6667
15,2022-2023,0.6926,0.6926
15,2023-2024,0.6865,0.6865
