placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
107,99,2012-05-18,2,5,2011-2012,Coop/São José Basketball,Flamengo,86.73333333333333,26.0,41.733333333333334,19.0,31.4,8.733333333333333,22.666666666666668,18.266666666666666,13.066666666666666,1.698666666666667,8.666666666666666,24.4,35.525999999999996,20.866666666666667,34.13333333333333,60.79,19.0,23.266666666666666,82.394,1.4,6.066666666666666,0.5373333333333333,2.6,19.066666666666666,0.13333333333333333,13.066666666666666,2.066666666666667,104.6,82.8,22.2,44.8,15.8,30.266666666666666,8.0,22.266666666666666,12.933333333333334,9.866666666666667,1.434,7.4,20.0,38.02266666666667,22.4,41.733333333333334,54.08333333333334,15.8,20.8,74.7,1.1333333333333333,6.066666666666666,0.676,1.6,19.4,0.08200000000000002,9.866666666666667,2.2666666666666666,94.13333333333334
90,77,2012-05-18,1,5,2011-2012,Brasília,Pinheiros,87.4,25.0,42.93333333333333,19.466666666666665,32.46666666666667,8.266666666666667,24.2,14.066666666666666,13.2,1.162,8.333333333333334,22.533333333333335,36.51333333333333,21.466666666666665,36.733333333333334,58.550666666666665,19.466666666666665,24.0,81.36866666666668,1.2,6.466666666666667,0.5233333333333333,3.2666666666666666,22.8,0.15333333333333332,13.2,2.466666666666667,101.86666666666666,82.93333333333334,21.2,46.666666666666664,15.066666666666666,30.933333333333334,7.933333333333334,23.0,15.666666666666666,13.4,1.3126666666666666,7.066666666666666,19.533333333333335,35.81333333333334,23.333333333333332,40.266666666666666,58.17066666666667,15.066666666666666,22.4,67.59866666666666,2.8,7.266666666666667,0.5800000000000001,2.7333333333333334,21.533333333333335,0.13133333333333333,13.4,3.2666666666666666,99.33333333333333
81,65,2012-05-20,2,5,2011-2012,Pinheiros,Brasília,81.6,21.4,44.8,15.4,32.0,8.466666666666667,23.533333333333335,15.2,13.8,1.2193333333333336,7.133333333333334,19.866666666666667,35.788,22.4,39.86666666666667,56.55199999999999,15.4,22.466666666666665,68.556,2.4,6.733333333333333,0.506,2.6666666666666665,22.066666666666666,0.12466666666666669,13.8,3.3333333333333335,97.53333333333333,88.2,25.8,42.13333333333333,20.266666666666666,32.2,7.8,24.4,14.466666666666667,13.2,1.1953333333333334,8.6,22.733333333333334,37.294,21.066666666666666,35.666666666666664,58.870666666666665,20.266666666666666,25.066666666666666,80.75066666666666,1.2,6.8,0.5506666666666666,3.4,22.666666666666668,0.15866666666666665,13.2,2.533333333333333,104.26666666666667
100,91,2012-05-20,3,5,2011-2012,Coop/São José Basketball,Flamengo,87.6,27.4,41.733333333333334,18.466666666666665,31.866666666666667,9.133333333333333,22.733333333333334,17.866666666666667,13.666666666666666,1.5960000000000003,9.133333333333333,25.0,36.72133333333333,20.866666666666667,34.46666666666667,60.354000000000006,18.466666666666665,23.066666666666666,81.13466666666667,1.4,6.133333333333334,0.5186666666666667,2.533333333333333,19.733333333333334,0.128,13.666666666666666,2.2,104.8,84.13333333333334,21.4,45.733333333333334,17.0,31.2,8.266666666666667,22.933333333333334,13.466666666666667,9.666666666666666,1.498,7.133333333333334,20.266666666666666,36.30066666666667,22.866666666666667,42.4,54.416666666666664,17.0,22.133333333333333,75.22866666666667,1.2,6.066666666666666,0.684,1.6666666666666667,19.8,0.08333333333333336,9.666666666666666,2.2666666666666666,96.46666666666667
