Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
8-1,2008-2009,0.58,-,0.58,-
8-1,2009-2010,0.59,-,0.59,-
8-1,2011-2012,0.55,-,0.55,-
8-1,2012-2013,0.58,-,0.58,-
8-1,2013-2014,0.49,-,0.49,-
8-1,2014-2015,0.53,-,0.53,-
8-1,2015-2016,0.47,-,0.47,-
8-1,2016-2017,0.53,-,0.53,-
8-1,2018-2019,0.57,-,0.57,-
8-1,2019-2020,0.43,-,0.43,-
8-1,2020-2021,0.52,-,0.52,-
8-1,2021-2022,0.57,-,0.57,-
8-1,2022-2023,0.51,-,0.51,-
8-1,2023-2024,0.54,-,0.54,-
8-1,-,0.53,0.04,0.53,0.04
8-2,2008-2009,0.58,-,0.51,-
8-2,2009-2010,0.60,-,0.53,-
8-2,2011-2012,0.55,-,0.48,-
8-2,2012-2013,0.59,-,0.52,-
8-2,2013-2014,0.51,-,0.43,-
8-2,2014-2015,0.50,-,0.43,-
8-2,2015-2016,0.48,-,0.40,-
8-2,2016-2017,0.53,-,0.45,-
8-2,2018-2019,0.58,-,0.52,-
8-2,2019-2020,0.45,-,0.37,-
8-2,2020-2021,0.53,-,0.45,-
8-2,2021-2022,0.55,-,0.48,-
8-2,2022-2023,0.51,-,0.43,-
8-2,2023-2024,0.53,-,0.45,-
8-2,-,0.54,0.04,0.46,0.05
8-3,2008-2009,0.58,-,0.48,-
8-3,2009-2010,0.60,-,0.51,-
8-3,2011-2012,0.56,-,0.46,-
8-3,2012-2013,0.60,-,0.50,-
8-3,2013-2014,0.52,-,0.41,-
8-3,2014-2015,0.52,-,0.42,-
8-3,2015-2016,0.49,-,0.37,-
8-3,2016-2017,0.52,-,0.41,-
8-3,2018-2019,0.58,-,0.49,-
8-3,2019-2020,0.46,-,0.34,-
8-3,2020-2021,0.54,-,0.43,-
8-3,2021-2022,0.56,-,0.45,-
8-3,2022-2023,0.51,-,0.40,-
8-3,2023-2024,0.53,-,0.43,-
8-3,-,0.54,0.04,0.44,0.05
8-4,2008-2009,0.59,-,0.48,-
8-4,2009-2010,0.60,-,0.49,-
8-4,2011-2012,0.57,-,0.46,-
8-4,2012-2013,0.60,-,0.49,-
8-4,2013-2014,0.52,-,0.40,-
8-4,2014-2015,0.54,-,0.42,-
8-4,2015-2016,0.49,-,0.37,-
8-4,2016-2017,0.52,-,0.40,-
8-4,2018-2019,0.58,-,0.47,-
8-4,2019-2020,0.46,-,0.34,-
8-4,2020-2021,0.53,-,0.41,-
8-4,2021-2022,0.56,-,0.44,-
8-4,2022-2023,0.52,-,0.39,-
8-4,2023-2024,0.52,-,0.41,-
8-4,-,0.54,0.04,0.42,0.04
