Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
64-1,2008-2009,0.81,-,0.81,-
64-1,2009-2010,0.74,-,0.74,-
64-1,2011-2012,0.82,-,0.82,-
64-1,2012-2013,0.80,-,0.80,-
64-1,2013-2014,0.80,-,0.80,-
64-1,2014-2015,0.84,-,0.84,-
64-1,2015-2016,0.82,-,0.82,-
64-1,2016-2017,0.79,-,0.79,-
64-1,2018-2019,0.87,-,0.87,-
64-1,2019-2020,0.81,-,0.81,-
64-1,2020-2021,0.81,-,0.81,-
64-1,2021-2022,0.84,-,0.84,-
64-1,2022-2023,0.85,-,0.85,-
64-1,2023-2024,0.81,-,0.81,-
64-1,-,0.82,0.03,0.82,0.03
64-2,2008-2009,0.81,-,0.79,-
64-2,2009-2010,0.73,-,0.70,-
64-2,2011-2012,0.82,-,0.80,-
64-2,2012-2013,0.81,-,0.80,-
64-2,2013-2014,0.81,-,0.80,-
64-2,2014-2015,0.85,-,0.84,-
64-2,2015-2016,0.81,-,0.80,-
64-2,2016-2017,0.79,-,0.79,-
64-2,2018-2019,0.88,-,0.88,-
64-2,2019-2020,0.82,-,0.82,-
64-2,2020-2021,0.82,-,0.81,-
64-2,2021-2022,0.85,-,0.83,-
64-2,2022-2023,0.84,-,0.84,-
64-2,2023-2024,0.83,-,0.81,-
64-2,-,0.82,0.03,0.81,0.04
64-3,2008-2009,0.81,-,0.79,-
64-3,2009-2010,0.74,-,0.71,-
64-3,2011-2012,0.82,-,0.80,-
64-3,2012-2013,0.81,-,0.80,-
64-3,2013-2014,0.81,-,0.81,-
64-3,2014-2015,0.85,-,0.84,-
64-3,2015-2016,0.81,-,0.80,-
64-3,2016-2017,0.80,-,0.80,-
64-3,2018-2019,0.87,-,0.87,-
64-3,2019-2020,0.82,-,0.82,-
64-3,2020-2021,0.82,-,0.82,-
64-3,2021-2022,0.84,-,0.83,-
64-3,2022-2023,0.84,-,0.84,-
64-3,2023-2024,0.82,-,0.81,-
64-3,-,0.82,0.03,0.81,0.03
64-4,2008-2009,0.81,-,0.80,-
64-4,2009-2010,0.75,-,0.71,-
64-4,2011-2012,0.82,-,0.79,-
64-4,2012-2013,0.81,-,0.80,-
64-4,2013-2014,0.82,-,0.81,-
64-4,2014-2015,0.85,-,0.84,-
64-4,2015-2016,0.82,-,0.81,-
64-4,2016-2017,0.80,-,0.80,-
64-4,2018-2019,0.86,-,0.86,-
64-4,2019-2020,0.82,-,0.82,-
64-4,2020-2021,0.82,-,0.82,-
64-4,2021-2022,0.84,-,0.83,-
64-4,2022-2023,0.84,-,0.83,-
64-4,2023-2024,0.83,-,0.81,-
64-4,-,0.82,0.03,0.81,0.03
64-6,2008-2009,0.82,-,0.81,-
64-6,2009-2010,0.75,-,0.73,-
64-6,2011-2012,0.82,-,0.79,-
64-6,2012-2013,0.81,-,0.80,-
64-6,2013-2014,0.82,-,0.81,-
64-6,2014-2015,0.86,-,0.85,-
64-6,2015-2016,0.82,-,0.81,-
64-6,2016-2017,0.80,-,0.80,-
64-6,2018-2019,0.85,-,0.85,-
64-6,2019-2020,0.82,-,0.82,-
64-6,2020-2021,0.83,-,0.83,-
64-6,2021-2022,0.84,-,0.83,-
64-6,2022-2023,0.84,-,0.83,-
64-6,2023-2024,0.82,-,0.81,-
64-6,-,0.82,0.02,0.81,0.03
64-8,2008-2009,0.81,-,0.81,-
64-8,2009-2010,0.76,-,0.74,-
64-8,2011-2012,0.82,-,0.79,-
64-8,2012-2013,0.81,-,0.80,-
64-8,2013-2014,0.82,-,0.81,-
64-8,2014-2015,0.85,-,0.85,-
64-8,2015-2016,0.82,-,0.81,-
64-8,2016-2017,0.80,-,0.80,-
64-8,2018-2019,0.85,-,0.85,-
64-8,2019-2020,0.81,-,0.81,-
64-8,2020-2021,0.83,-,0.83,-
64-8,2021-2022,0.84,-,0.84,-
64-8,2022-2023,0.83,-,0.83,-
64-8,2023-2024,0.83,-,0.82,-
64-8,-,0.82,0.02,0.81,0.03
64-16,2008-2009,0.82,-,0.81,-
64-16,2009-2010,0.75,-,0.73,-
64-16,2011-2012,0.80,-,0.77,-
64-16,2012-2013,0.81,-,0.80,-
64-16,2013-2014,0.83,-,0.83,-
64-16,2014-2015,0.84,-,0.84,-
64-16,2015-2016,0.81,-,0.81,-
64-16,2016-2017,0.81,-,0.81,-
64-16,2018-2019,0.85,-,0.85,-
64-16,2019-2020,0.81,-,0.81,-
64-16,2020-2021,0.82,-,0.82,-
64-16,2021-2022,0.85,-,0.85,-
64-16,2022-2023,0.84,-,0.84,-
64-16,2023-2024,0.83,-,0.83,-
64-16,-,0.82,0.03,0.81,0.03
64-32,2008-2009,0.82,-,0.82,-
64-32,2009-2010,0.74,-,0.73,-
64-32,2011-2012,0.80,-,0.78,-
64-32,2012-2013,0.82,-,0.81,-
64-32,2013-2014,0.84,-,0.83,-
64-32,2014-2015,0.83,-,0.83,-
64-32,2015-2016,0.81,-,0.81,-
64-32,2016-2017,0.82,-,0.82,-
64-32,2018-2019,0.85,-,0.85,-
64-32,2019-2020,0.80,-,0.80,-
64-32,2020-2021,0.80,-,0.80,-
64-32,2021-2022,0.85,-,0.85,-
64-32,2022-2023,0.84,-,0.84,-
64-32,2023-2024,0.82,-,0.82,-
