Modelo,Janela Incremental,Temporada,Jogos,Acertos,Acuracia,F1-Score
regressao_logistica,5,2008-2009,231,158,0.683982683982684,0.665203384716938
regressao_logistica,5,2009-2010,156,107,0.6858974358974359,0.6501135994806881
regressao_logistica,5,2011-2012,170,105,0.6176470588235294,0.5951480757760658
regressao_logistica,5,2012-2013,344,221,0.6424418604651163,0.6265126324777739
regressao_logistica,5,2013-2014,310,193,0.6225806451612903,0.6052736353158942
regressao_logistica,5,2014-2015,279,167,0.5985663082437276,0.5670240596547604
regressao_logistica,5,2015-2016,249,143,0.5742971887550201,0.5631811020533573
regressao_logistica,5,2016-2017,254,142,0.5590551181102362,0.5491008670355833
regressao_logistica,5,2018-2019,212,127,0.5990566037735849,0.5932699496378235
regressao_logistica,5,2019-2020,201,118,0.5870646766169154,0.5862030483991104
regressao_logistica,5,2020-2021,260,171,0.6576923076923077,0.655469967765856
regressao_logistica,5,2021-2022,298,198,0.6644295302013423,0.6490996777665018
regressao_logistica,5,2022-2023,306,185,0.6045751633986928,0.5962386520411029
regressao_logistica,5,2023-2024,380,234,0.6157894736842106,0.609382057951468
regressao_logistica,10,2008-2009,226,159,0.7035398230088495,0.6882548295247733
regressao_logistica,10,2009-2010,151,103,0.6821192052980133,0.6473015364615224
regressao_logistica,10,2011-2012,165,107,0.6484848484848484,0.6179814675682445
regressao_logistica,10,2012-2013,339,223,0.6578171091445427,0.6371405728778982
regressao_logistica,10,2013-2014,305,190,0.6229508196721312,0.6090581904999466
regressao_logistica,10,2014-2015,274,178,0.6496350364963503,0.626559924652696
regressao_logistica,10,2015-2016,244,147,0.6024590163934426,0.5931734591935434
regressao_logistica,10,2016-2017,249,144,0.5783132530120482,0.5705906954213257
regressao_logistica,10,2018-2019,207,132,0.6376811594202898,0.6310393011889291
regressao_logistica,10,2019-2020,196,127,0.6479591836734694,0.6472513329656187
regressao_logistica,10,2020-2021,255,168,0.6588235294117647,0.6538626241140738
regressao_logistica,10,2021-2022,293,195,0.6655290102389079,0.6490455117004424
regressao_logistica,10,2022-2023,301,182,0.6046511627906976,0.5961687925015761
regressao_logistica,10,2023-2024,375,234,0.624,0.6143155696461134
regressao_logistica,15,2008-2009,221,162,0.7330316742081447,0.720290370108343
regressao_logistica,15,2009-2010,146,95,0.6506849315068494,0.6186831639416703
regressao_logistica,15,2011-2012,160,105,0.65625,0.6211807169791828
regressao_logistica,15,2012-2013,334,220,0.6586826347305389,0.6392904010415499
regressao_logistica,15,2013-2014,300,184,0.6133333333333333,0.6036718157312803
regressao_logistica,15,2014-2015,269,171,0.6356877323420075,0.6091679422698447
regressao_logistica,15,2015-2016,239,146,0.6108786610878661,0.6015948177143582
regressao_logistica,15,2016-2017,244,142,0.5819672131147541,0.5773160241397947
regressao_logistica,15,2018-2019,202,133,0.6584158415841584,0.6527129187422803
regressao_logistica,15,2019-2020,191,124,0.6492146596858639,0.6489834806165408
regressao_logistica,15,2020-2021,250,166,0.664,0.6593926868044515
regressao_logistica,15,2021-2022,288,197,0.6840277777777778,0.664639426999557
regressao_logistica,15,2022-2023,296,188,0.6351351351351351,0.6314132550496186
regressao_logistica,15,2023-2024,370,236,0.6378378378378379,0.6304350992263285
