placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
71,77,2014-02-06,5,2,2013-2014,Minas,Bauru Basket,68.13333333333334,13.2,39.733333333333334,15.2,31.6,8.733333333333333,22.866666666666667,13.066666666666666,12.733333333333333,1.1053333333333335,4.4,16.4,27.422666666666665,19.866666666666667,40.4,49.36866666666666,15.2,20.733333333333334,75.10333333333332,1.6,9.333333333333334,0.7893333333333332,2.2666666666666666,22.933333333333334,0.10600000000000002,12.733333333333333,2.533333333333333,73.6,82.86666666666666,26.8,38.266666666666666,17.8,32.06666666666667,9.666666666666666,22.4,15.666666666666666,10.933333333333334,1.6093333333333333,8.933333333333334,24.066666666666666,38.126,19.133333333333333,35.4,54.19533333333334,17.8,22.733333333333334,78.91666666666667,2.2,9.0,0.9153333333333332,1.9333333333333333,18.333333333333332,0.114,10.933333333333334,1.4666666666666666,94.2
84,99,2014-02-06,5,2,2013-2014,Espírito Santo,Limeira,67.93333333333334,21.8,34.4,11.733333333333333,29.4,9.4,20.0,10.866666666666667,14.333333333333334,0.8393333333333334,7.266666666666667,24.0,30.26,17.2,34.733333333333334,49.44133333333333,11.733333333333333,16.4,72.71866666666666,1.0,7.8,0.6133333333333333,0.9333333333333333,20.133333333333333,0.04533333333333333,14.333333333333334,3.533333333333333,63.666666666666664,75.33333333333333,24.4,37.333333333333336,13.6,32.13333333333333,7.733333333333333,24.4,15.466666666666667,11.466666666666667,1.4973333333333334,8.133333333333333,20.8,39.68666666666666,18.666666666666668,36.13333333333333,51.733333333333334,13.6,18.6,72.324,0.5333333333333333,8.6,0.8240000000000001,1.9333333333333333,20.6,0.09533333333333333,11.466666666666667,1.8666666666666667,86.86666666666666
93,73,2014-02-08,6,2,2013-2014,Pinheiros,Fortaleza B. C. / CFO,86.93333333333334,31.2,39.2,16.533333333333335,34.13333333333333,7.933333333333334,26.2,16.4,13.133333333333333,1.3253333333333335,10.4,25.466666666666665,40.89333333333333,19.6,34.53333333333333,56.56733333333332,16.533333333333335,20.933333333333334,78.77133333333335,2.6,10.0,0.8073333333333333,3.8666666666666667,18.533333333333335,0.21533333333333332,13.133333333333333,2.2,103.8,77.4,20.0,43.2,14.2,36.46666666666667,10.133333333333333,26.333333333333332,13.4,13.333333333333334,1.1013333333333333,6.666666666666667,18.2,37.210666666666675,21.6,42.93333333333333,50.580000000000005,14.2,19.533333333333335,72.01266666666668,2.8,10.8,0.8806666666666666,2.2666666666666666,20.6,0.11466666666666668,13.333333333333334,2.6666666666666665,88.8
