placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
70,87,2023-10-13,1,1,2023-2024,Flamengo,Minas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,71,2023-10-15,1,1,2023-2024,Flamengo,Pato Basquete,1,77.0,22.5,40.0,14.5,37.0,13.0,24.0,15.5,10.5,1.48,7.5,30.0,25.0,20.0,33.5,59.7,14.5,19.0,76.32,1.5,5.5,0.52,1.5,15.0,0.1,10.5,2.5,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,84,2023-10-21,1,1,2023-2024,BRB/Brasília,Corinthians,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,96,2023-10-21,1,1,2023-2024,Botafogo,Minas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,46.5,32.0,13.0,40.5,10.5,30.0,26.5,11.5,2.3,15.5,34.0,45.59,16.0,29.5,54.24,13.0,17.0,76.47,0.5,4.0,0.35,3.5,20.5,0.17,11.5,2.0,118.5
100,92,2023-10-21,1,1,2023-2024,Sesi Franca,São Paulo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,69,2023-10-21,1,1,2023-2024,Cerrado,Pinheiros,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,67,2023-10-23,2,1,2023-2024,Cerrado,Corinthians,0,62.0,15.0,34.0,13.0,36.0,14.0,22.0,11.0,14.0,0.79,5.0,30.0,16.67,17.0,46.0,36.96,13.0,18.0,72.22,2.0,13.0,0.93,4.0,18.0,0.22,14.0,3.0,53.0,84.0,24.0,48.0,12.0,47.0,15.0,32.0,17.0,16.0,1.06,8.0,31.0,25.81,24.0,39.0,61.54,12.0,17.0,70.59,0.0,7.0,0.44,2.0,21.0,0.1,16.0,2.0,98.0
94,76,2023-10-23,2,1,2023-2024,BRB/Brasília,Pinheiros,1,72.0,18.0,40.0,14.0,35.0,9.0,26.0,11.0,16.0,0.69,6.0,21.0,28.57,20.0,43.0,46.51,14.0,21.0,66.67,1.0,9.0,0.56,0.0,19.0,0.0,16.0,6.0,66.0,69.0,30.0,32.0,7.0,49.0,8.0,41.0,23.0,29.0,0.79,10.0,24.0,41.67,16.0,32.0,50.0,7.0,10.0,70.0,1.0,7.0,0.24,3.0,20.0,0.15,29.0,10.0,89.0
89,50,2023-10-23,2,1,2023-2024,Sesi Franca,Paulistano,1,100.0,33.0,44.0,23.0,39.0,10.0,29.0,18.0,17.0,1.06,11.0,28.0,39.29,22.0,37.0,59.46,23.0,26.0,88.46,2.0,6.0,0.35,1.0,23.0,0.04,17.0,5.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,72,2023-10-23,2,1,2023-2024,R10 Score Vasco da Gama,Minas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,46.5,32.0,13.0,40.5,10.5,30.0,26.5,11.5,2.3,15.5,34.0,45.59,16.0,29.5,54.24,13.0,17.0,76.47,0.5,4.0,0.35,3.5,20.5,0.17,11.5,2.0,118.5
