svm_5_acuracia,svm_5_f1score,random-forest_5_acuracia,random-forest_5_f1score,naive-bayes_5_acuracia,naive-bayes_5_f1score,rede-neural_5_acuracia,rede-neural_5_f1score,vanilla_5_acuracia,vanilla_5_f1score,xgboost_5_acuracia,xgboost_5_f1score
"0,70 ± 0,05","0,69 ± 0,05","0,70 ± 0,04","0,69 ± 0,04","0,65 ± 0,04","0,65 ± 0,04","0,68 ± 0,04","0,67 ± 0,04","0,60 ± 0,05","0,45 ± 0,06","0,78 ± 0,06","0,78 ± 0,06"
"0,81 ± 0,05","0,80 ± 0,06","0,74 ± 0,04","0,73 ± 0,05","0,69 ± 0,07","0,67 ± 0,11","0,75 ± 0,07","0,75 ± 0,08","0,60 ± 0,05","0,45 ± 0,06","0,87 ± 0,05","0,87 ± 0,05"
"0,82 ± 0,06","0,81 ± 0,06","0,77 ± 0,05","0,76 ± 0,05","0,71 ± 0,05","0,71 ± 0,05","0,76 ± 0,08","0,76 ± 0,08","0,60 ± 0,05","0,45 ± 0,06","0,88 ± 0,05","0,88 ± 0,05"
"0,80 ± 0,09","0,79 ± 0,10","0,77 ± 0,05","0,76 ± 0,06","0,69 ± 0,06","0,67 ± 0,08","0,78 ± 0,07","0,77 ± 0,07","0,60 ± 0,05","0,45 ± 0,06","0,89 ± 0,06","0,89 ± 0,06"
"0,85 ± 0,09","0,84 ± 0,10","0,75 ± 0,06","0,75 ± 0,06","0,69 ± 0,07","0,69 ± 0,07","0,79 ± 0,09","0,78 ± 0,09","0,61 ± 0,06","0,47 ± 0,07","0,91 ± 0,06","0,91 ± 0,06"
"0,87 ± 0,11","0,87 ± 0,11","0,77 ± 0,09","0,75 ± 0,12","0,64 ± 0,15","0,63 ± 0,15","0,79 ± 0,12","0,78 ± 0,12","0,61 ± 0,08","0,46 ± 0,09","0,91 ± 0,07","0,90 ± 0,08"
