svm_10_acuracia,svm_10_f1score,random-forest_10_acuracia,random-forest_10_f1score,naive-bayes_10_acuracia,naive-bayes_10_f1score,rede-neural_10_acuracia,rede-neural_10_f1score,vanilla_10_acuracia,vanilla_10_f1score,xgboost_10_acuracia,xgboost_10_f1score
"0,72 ± 0,05","0,71 ± 0,05","0,73 ± 0,05","0,73 ± 0,05","0,69 ± 0,04","0,69 ± 0,04","0,72 ± 0,05","0,72 ± 0,05","0,60 ± 0,05","0,45 ± 0,06","0,77 ± 0,07","0,76 ± 0,08"
"0,82 ± 0,06","0,82 ± 0,06","0,77 ± 0,04","0,77 ± 0,05","0,70 ± 0,08","0,69 ± 0,12","0,77 ± 0,09","0,76 ± 0,11","0,60 ± 0,05","0,45 ± 0,06","0,86 ± 0,05","0,86 ± 0,06"
"0,81 ± 0,07","0,81 ± 0,08","0,77 ± 0,05","0,77 ± 0,05","0,72 ± 0,06","0,72 ± 0,05","0,79 ± 0,05","0,79 ± 0,06","0,60 ± 0,05","0,45 ± 0,06","0,90 ± 0,05","0,90 ± 0,05"
"0,84 ± 0,08","0,83 ± 0,09","0,78 ± 0,04","0,78 ± 0,05","0,71 ± 0,06","0,70 ± 0,08","0,78 ± 0,04","0,77 ± 0,05","0,60 ± 0,05","0,45 ± 0,06","0,90 ± 0,03","0,90 ± 0,03"
"0,86 ± 0,09","0,85 ± 0,10","0,77 ± 0,07","0,77 ± 0,07","0,71 ± 0,06","0,71 ± 0,06","0,80 ± 0,10","0,79 ± 0,11","0,61 ± 0,06","0,47 ± 0,07","0,91 ± 0,06","0,91 ± 0,06"
"0,89 ± 0,07","0,88 ± 0,07","0,76 ± 0,12","0,73 ± 0,14","0,68 ± 0,12","0,67 ± 0,13","0,81 ± 0,09","0,79 ± 0,11","0,61 ± 0,08","0,46 ± 0,09","0,92 ± 0,06","0,91 ± 0,07"
