placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
78,59,2014-11-26,7,1,2014-2015,Paulistano,Uberlândia,81.86666666666666,24.0,40.666666666666664,17.2,35.733333333333334,12.6,23.133333333333333,10.933333333333334,11.2,1.0766666666666667,8.0,24.733333333333334,32.848,20.333333333333332,40.46666666666667,50.49066666666668,17.2,22.4,76.922,1.6,9.533333333333333,0.9326666666666666,0.8666666666666667,24.866666666666667,0.03533333333333333,11.2,2.3333333333333335,85.66666666666667,76.06666666666666,27.2,34.666666666666664,14.2,31.866666666666667,8.933333333333334,22.933333333333334,14.066666666666666,12.0,1.275333333333333,9.066666666666666,25.666666666666668,33.90866666666667,17.333333333333332,34.46666666666667,50.20533333333334,14.2,18.666666666666668,76.294,2.3333333333333335,9.133333333333333,0.8173333333333334,1.6666666666666667,19.533333333333335,0.09000000000000002,12.0,2.466666666666667,82.6
65,84,2014-11-26,7,1,2014-2015,L. Sorocabana,Minas,77.86666666666666,21.6,41.2,15.066666666666666,31.533333333333335,11.933333333333334,19.6,13.933333333333334,13.666666666666666,1.0466666666666666,7.2,22.4,32.47866666666667,20.6,39.93333333333333,51.82866666666667,15.066666666666666,18.533333333333335,80.04133333333333,1.8,10.0,0.7626666666666668,1.6666666666666667,24.133333333333333,0.07133333333333333,13.666666666666666,3.2,83.33333333333333,71.06666666666666,18.0,38.666666666666664,14.4,32.46666666666667,10.666666666666666,21.8,15.466666666666667,14.8,1.11,6.0,19.466666666666665,31.848666666666666,19.333333333333332,39.4,49.28533333333334,14.4,19.466666666666665,72.77533333333334,1.4,9.266666666666667,0.6426666666666667,3.6,22.666666666666668,0.166,14.8,3.8,78.46666666666667
70,76,2014-11-27,8,1,2014-2015,Fortaleza B. C. / CFO,Coop/São José Basketball,76.06666666666666,22.6,40.266666666666666,13.2,36.13333333333333,11.8,24.333333333333332,13.133333333333333,13.666666666666666,1.0246666666666666,7.533333333333333,23.666666666666668,31.27466666666667,20.133333333333333,41.0,49.175333333333334,13.2,18.6,70.276,1.2666666666666666,9.6,0.736,2.7333333333333334,19.666666666666668,0.13933333333333334,13.666666666666666,2.8,81.6,77.13333333333334,21.0,40.13333333333333,16.0,39.4,10.666666666666666,28.733333333333334,14.4,13.8,1.0773333333333333,7.0,21.0,32.483999999999995,20.066666666666666,39.266666666666666,51.12133333333334,16.0,21.266666666666666,73.90666666666667,0.26666666666666666,7.266666666666667,0.5459999999999999,1.7333333333333334,18.866666666666667,0.09666666666666668,13.8,2.8666666666666667,87.66666666666667
