placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
87,93,2022-02-03,2,2,2021-2022,Pato Basquete,Flamengo,73.3,31.5,30.8,11.0,38.5,11.5,27.0,12.7,14.1,0.922,10.5,28.2,36.664,15.4,35.5,43.656000000000006,11.0,17.3,63.474000000000004,1.6,7.8,0.5519999999999999,2.7,19.6,0.142,14.1,3.0,76.8,86.9,39.3,37.6,10.0,43.8,11.4,32.4,21.5,12.6,1.8739999999999999,13.1,35.0,38.295,18.8,31.6,60.225,10.0,14.2,72.592,1.8,6.0,0.522,2.4,14.6,0.17300000000000001,12.6,2.3,109.1
68,83,2022-02-03,2,2,2021-2022,Caxias do Sul Basquete,Sesi Franca,73.85,24.6,37.3,11.95,32.35,7.2,25.15,16.0,13.8,1.194,8.2,24.4,33.001999999999995,18.65,37.0,50.616,11.95,16.25,72.31,1.6,6.8,0.51,3.1,19.95,0.15399999999999997,13.8,2.4,79.45,93.10099999999998,39.0,40.001000000000005,14.1,42.599,10.7,31.898999999999994,16.999000000000002,13.499,1.3030000000000002,13.0,33.301,38.84400000000001,19.999000000000002,32.401,62.135000000000005,14.1,17.401,81.844,2.3009999999999997,5.9,0.45400000000000007,3.2989999999999995,15.9,0.238,13.499,2.2009999999999996,112.40099999999998
84,75,2022-02-03,2,2,2021-2022,União Corinthians,Rio Claro,75.25,23.85,37.8,13.6,36.45,9.75,26.7,15.0,13.3,1.2469999999999999,7.95,27.85,28.415,18.9,38.55,49.284,13.6,18.8,72.838,2.1,9.1,0.741,2.7,18.7,0.147,13.3,2.05,80.45,77.7,21.9,41.0,14.8,34.85,11.1,23.75,14.8,12.2,1.2739999999999998,7.3,27.5,25.676,20.5,37.5,54.614,14.8,20.05,73.19300000000001,1.6,8.0,0.6839999999999999,1.45,23.15,0.064,12.2,2.35,82.15
81,71,2022-02-03,2,2,2021-2022,Corinthians,Paulistano,77.7,33.15,33.6,10.95,39.6,12.05,27.55,16.8,11.05,1.5299999999999998,11.05,33.45,33.274,16.8,32.3,52.136,10.95,15.0,74.161,0.9,6.2,0.5660000000000001,2.25,19.4,0.10800000000000001,11.05,2.6,89.55,79.7,25.8,40.4,13.5,40.5,11.0,29.5,14.95,14.55,1.052,8.6,26.35,32.779999999999994,20.2,40.4,50.027,13.5,18.2,73.523,1.4,7.15,0.49399999999999994,2.35,20.65,0.11700000000000003,14.55,3.35,87.45
74,68,2022-02-04,2,2,2021-2022,Bauru Basket,Cerrado,77.65,31.5,35.1,11.05,32.75,7.75,25.0,17.8,11.1,1.659,10.5,29.6,35.472,17.55,33.45,52.569,11.05,15.95,69.29299999999999,1.45,7.35,0.671,1.6,19.05,0.09,11.1,1.85,86.15,80.45,29.7,41.0,9.75,38.65,11.75,26.9,17.3,13.7,1.363,9.9,31.85,30.927,20.5,39.95,51.205999999999996,9.75,13.55,72.99300000000001,2.85,6.4,0.503,3.55,18.95,0.187,13.7,2.85,87.45
77,117,2022-02-05,2,2,2021-2022,Mogi,Flamengo,73.7,26.1,35.6,12.0,38.4,10.2,28.2,18.1,17.7,1.08,8.7,27.3,31.839000000000006,17.8,33.3,53.44500000000001,12.0,17.4,67.87199999999999,2.9,6.8,0.421,2.1,18.1,0.11500000000000002,17.7,3.3,81.9,87.5,39.0,37.1,11.4,43.4,11.0,32.4,21.65,13.05,1.8349999999999997,13.0,35.5,36.980000000000004,18.55,30.95,60.73,11.4,15.65,74.28599999999999,1.85,6.1,0.5189999999999999,2.5,15.05,0.177,13.05,2.0,108.95
88,70,2022-02-05,2,2,2021-2022,São Paulo,UNIFACISA,84.25,34.8,35.7,13.75,34.75,6.6,28.15,17.95,11.75,1.656,11.6,30.55,38.00599999999999,17.85,31.15,57.41600000000001,13.75,18.55,74.418,1.9,6.95,0.6120000000000001,2.2,17.85,0.125,11.75,2.5,97.3,81.7,31.5,38.8,11.4,36.6,10.5,26.1,14.7,10.8,1.381,10.5,29.4,34.492999999999995,19.4,37.1,52.74300000000001,11.4,15.2,74.352,1.4,8.3,0.806,1.1,20.0,0.053000000000000005,10.8,1.6,91.2
89,85,2022-02-05,2,2,2021-2022,União Corinthians,Sesi Franca,75.15,21.75,38.9,14.5,37.0,10.3,26.7,14.6,13.3,1.207,7.25,26.35,27.613000000000007,19.45,39.6,49.349,14.5,20.5,71.702,2.3,8.75,0.7060000000000001,2.55,19.8,0.136,13.3,2.0,79.5,92.701,37.95,39.801,14.95,41.898999999999994,10.85,31.048999999999996,16.449,13.449000000000002,1.26,12.65,32.801,38.24300000000001,19.899,32.45100000000001,61.70399999999999,14.95,18.151,83.225,2.351,5.85,0.45100000000000007,3.4489999999999994,15.9,0.246,13.449000000000002,2.101,111.00099999999998
70,101,2022-02-06,2,2,2021-2022,Pato Basquete,Minas,74.4,32.7,30.6,11.1,38.4,11.5,26.9,12.75,13.55,0.968,10.9,28.75,37.302,15.3,35.45,43.40500000000001,11.1,16.95,65.849,1.55,7.4,0.542,2.6,20.15,0.135,13.55,3.05,78.15,86.0,33.45,40.2,12.35,39.35,10.55,28.8,17.85,12.5,1.4609999999999999,11.15,30.45,36.687,20.1,34.35,58.56499999999998,12.35,18.05,68.593,2.8,7.7,0.631,2.45,16.5,0.14900000000000002,12.5,2.5,101.6
73,62,2022-02-07,3,2,2021-2022,São Paulo,Fortaleza B. C. / CFO,85.8,35.4,36.4,14.0,34.2,6.4,27.8,17.9,11.3,1.682,11.8,30.5,38.94,18.2,31.2,58.335,14.0,18.7,75.151,2.1,6.9,0.6310000000000001,2.1,17.7,0.121,11.3,2.4,99.2,77.3,21.3,41.8,14.2,39.4,10.3,29.1,13.7,14.1,1.034,7.1,25.3,28.209999999999997,20.9,42.5,50.019000000000005,14.2,21.1,65.199,1.2,5.8,0.4299999999999999,2.2,20.5,0.11299999999999999,14.1,2.8,77.6
