placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
85,94,2023-04-08,9,2,2022-2023,Fortaleza B. C. / CFO,Minas,76.166,25.7,36.800666666666665,13.667333333333334,37.93333333333333,11.232666666666667,26.70066666666667,12.5,12.733333333333333,0.994,8.566,26.40066666666667,32.89066666666667,18.399333333333335,38.233333333333334,47.82600000000001,13.667333333333334,21.366,64.51133333333334,1.5673333333333332,6.400666666666667,0.5239999999999999,1.2326666666666668,20.666,0.06200000000000003,12.733333333333333,2.767333333333333,76.134,85.84333333333333,29.866666666666667,41.024,14.955999999999998,40.266,10.200666666666667,30.067333333333337,20.044666666666668,13.732000000000001,1.4873333333333332,9.955333333333332,26.288,37.77133333333334,20.509333333333327,37.0,55.31933333333333,14.955999999999998,20.13266666666667,74.93400000000003,2.776666666666666,5.69,0.4166666666666666,1.5326666666666668,18.69,0.08133333333333333,13.732000000000001,3.0900000000000003,101.64466666666665
53,100,2023-04-08,9,2,2022-2023,Rio Claro,Flamengo,79.06666666666666,24.4,41.266666666666666,13.4,33.5,9.3,24.2,17.7,13.033333333333333,1.3733333333333335,8.133333333333333,24.8,33.06733333333333,20.633333333333333,39.93333333333333,51.92400000000001,13.4,18.1,73.05133333333333,1.0,6.266666666666667,0.49199999999999994,0.8666666666666667,22.633333333333333,0.04266666666666667,13.033333333333333,2.7,83.7,86.26733333333333,35.0,39.93333333333333,11.334,41.865333333333325,11.933333333333334,29.934000000000005,20.933333333333334,12.334,1.8433333333333333,11.666666666666666,32.0,36.422,19.966666666666665,34.00000000000001,58.38466666666667,11.334,15.500666666666666,73.17933333333333,1.2333333333333334,6.401333333333334,0.5560000000000002,2.232666666666667,16.498666666666665,0.13866666666666666,12.334,2.2666666666666666,106.83266666666668
89,69,2023-04-08,9,2,2022-2023,Bauru Basket,Caxias do Sul Basquete,76.3,31.1,33.93266666666666,11.265333333333333,32.80133333333334,7.099333333333333,25.699999999999996,18.100666666666665,11.501333333333333,1.6066666666666667,10.366000000000001,28.966666666666665,35.65933333333333,16.967333333333332,31.034,54.528,11.265333333333333,14.99933333333333,73.72999999999999,1.7680000000000002,6.965999999999999,0.6020000000000001,1.7319999999999998,18.76533333333333,0.09933333333333334,11.501333333333333,2.032666666666666,87.99933333333334,74.35600000000001,25.0,34.93333333333333,14.422666666666665,35.11,7.977333333333333,27.13266666666667,13.434,14.666666666666666,0.9819999999999999,8.334,24.766666666666666,34.03266666666666,17.466666666666665,35.978,48.67333333333334,14.422666666666665,20.300666666666665,69.81466666666667,0.31,7.122,0.49600000000000005,1.9233333333333333,21.27733333333333,0.09400000000000001,14.666666666666666,3.3106666666666666,76.45533333333334
