Treino,Média
2011-2012_treino_3.csv_128-1,0.64
2011-2012_treino_4.csv_128-1,0.64
2011-2012_treino_5.csv_128-1,0.65
2011-2012_treino_6.csv_128-1,0.65
2011-2012_treino_7.csv_128-1,0.65
2011-2012_treino_8.csv_128-1,0.65
2011-2012_treino_9.csv_128-1,0.66
2011-2012_treino_10.csv_128-1,0.65
2011-2012_treino_11.csv_128-1,0.66
2011-2012_treino_12.csv_128-1,0.66
2011-2012_treino_13.csv_128-1,0.66
2011-2012_treino_14.csv_128-1,0.66
2011-2012_treino_15.csv_128-1,0.66
2011-2012_treino_16.csv_128-1,0.66
2011-2012_treino_17.csv_128-1,0.66
2011-2012_treino_18.csv_128-1,0.66
2011-2012_treino_19.csv_128-1,0.66
2011-2012_treino_20.csv_128-1,0.66
2011-2012_treino_21.csv_128-1,0.66
2011-2012_treino_22.csv_128-1,0.66
2011-2012_treino_23.csv_128-1,0.66
2011-2012_treino_24.csv_128-1,0.66
2011-2012_treino_25.csv_128-1,0.66
2011-2012_treino_26.csv_128-1,0.66
2011-2012_treino_27.csv_128-1,0.66
2011-2012_treino_28.csv_128-1,0.66
2011-2012_treino_29.csv_128-1,0.66
2011-2012_treino_30.csv_128-1,0.66
2011-2012_treino_31.csv_128-1,0.66
2011-2012_treino_32.csv_128-1,0.65
2011-2012_treino_33.csv_128-1,0.66
2011-2012_treino_34.csv_128-1,0.65
2011-2012_treino_35.csv_128-1,0.66
2011-2012_treino_36.csv_128-1,0.66
2011-2012_treino_37.csv_128-1,0.66
2011-2012_treino_38.csv_128-1,0.66
2011-2012_treino_39.csv_128-1,0.66
2011-2012_treino_40.csv_128-1,0.66
2011-2012_treino_41.csv_128-1,0.67
2011-2012_treino_42.csv_128-1,0.67
2011-2012_treino_43.csv_128-1,0.67
2011-2012_treino_44.csv_128-1,0.67
2011-2012_treino_45.csv_128-1,0.66
2011-2012_treino_46.csv_128-1,0.67
2011-2012_treino_47.csv_128-1,0.67
2011-2012_treino_48.csv_128-1,0.68
2012-2013_treino_1.csv_128-1,0.58
