Temporada,Média Vitórias Casa
2008-2009,0.65
2009-2010,0.68
2011-2012,0.66
2012-2013,0.61
2013-2014,0.61
2014-2015,0.59
2015-2016,0.56
2016-2017,0.55
2018-2019,0.61
2019-2020,0.51
2020-2021,0.55
2021-2022,0.62
2022-2023,0.57
2023-2024,0.58
