Treino,Média
2008-2009_treino_1.csv_32-1,0.53
2008-2009_treino_2.csv_32-1,0.50
2008-2009_treino_3.csv_32-1,0.50
2008-2009_treino_4.csv_32-1,0.53
2008-2009_treino_5.csv_32-1,0.53
2008-2009_treino_6.csv_32-1,0.53
2008-2009_treino_7.csv_32-1,0.53
2008-2009_treino_8.csv_32-1,0.56
2008-2009_treino_9.csv_32-1,0.56
2008-2009_treino_10.csv_32-1,0.59
2008-2009_treino_11.csv_32-1,0.62
2008-2009_treino_12.csv_32-1,0.66
2008-2009_treino_13.csv_32-1,0.66
2008-2009_treino_14.csv_32-1,0.66
2008-2009_treino_15.csv_32-1,0.69
2008-2009_treino_16.csv_32-1,0.69
2008-2009_treino_17.csv_32-1,0.69
2008-2009_treino_18.csv_32-1,0.69
2008-2009_treino_19.csv_32-1,0.69
2008-2009_treino_20.csv_32-1,0.69
2008-2009_treino_21.csv_32-1,0.72
2008-2009_treino_22.csv_32-1,0.72
2008-2009_treino_23.csv_32-1,0.72
2008-2009_treino_24.csv_32-1,0.75
2008-2009_treino_25.csv_32-1,0.78
2008-2009_treino_26.csv_32-1,0.81
2008-2009_treino_27.csv_32-1,0.84
2008-2009_treino_28.csv_32-1,0.84
2008-2009_treino_29.csv_32-1,0.84
2008-2009_treino_30.csv_32-1,0.88
2008-2009_treino_31.csv_32-1,0.84
2008-2009_treino_32.csv_32-1,0.88
2008-2009_treino_33.csv_32-1,0.84
2008-2009_treino_34.csv_32-1,0.84
2008-2009_treino_35.csv_32-1,0.81
2008-2009_treino_36.csv_32-1,0.78
2008-2009_treino_37.csv_32-1,0.78
2008-2009_treino_38.csv_32-1,0.75
2008-2009_treino_39.csv_32-1,0.75
2008-2009_treino_40.csv_32-1,0.72
2008-2009_treino_41.csv_32-1,0.69
2008-2009_treino_42.csv_32-1,0.69
2008-2009_treino_43.csv_32-1,0.66
2008-2009_treino_44.csv_32-1,0.62
2008-2009_treino_45.csv_32-1,0.62
2008-2009_treino_46.csv_32-1,0.62
2008-2009_treino_47.csv_32-1,0.59
2008-2009_treino_48.csv_32-1,0.59
2008-2009_treino_49.csv_32-1,0.56
2008-2009_treino_50.csv_32-1,0.56
2008-2009_treino_51.csv_32-1,0.56
2008-2009_treino_52.csv_32-1,0.56
2008-2009_treino_53.csv_32-1,0.53
2008-2009_treino_54.csv_32-1,0.50
2008-2009_treino_55.csv_32-1,0.50
2008-2009_treino_56.csv_32-1,0.50
2008-2009_treino_57.csv_32-1,0.47
2008-2009_treino_58.csv_32-1,0.47
2008-2009_treino_59.csv_32-1,0.44
2008-2009_treino_60.csv_32-1,0.44
2008-2009_treino_61.csv_32-1,0.41
2008-2009_treino_62.csv_32-1,0.41
2008-2009_treino_63.csv_32-1,0.44
2008-2009_treino_64.csv_32-1,0.44
2008-2009_treino_65.csv_32-1,0.47
2008-2009_treino_66.csv_32-1,0.50
2008-2009_treino_67.csv_32-1,0.53
2008-2009_treino_68.csv_32-1,0.56
2008-2009_treino_69.csv_32-1,0.56
2008-2009_treino_70.csv_32-1,0.59
